name,min,max
4DCS.40LAB80CP103,0.00,30.00
4DCS.40LAB80CP104,0.00,30.00
4DCS.40LAB80CT301B,0.00,320.00
4DCS.40LAB80CT302,0.00,320.00
4DCS.40LAB80CT303,0.00,320.00
4DCS.40LAB80CT304,0.00,320.00
4DCS.40LAB80CT305,0.00,320.00
4DCS.40ONCE_THROUGH,0.00,1.00
4DCS.40ONCE_THROUGH_OFF,0.00,1.00
4DCS.40HAH10CP101,0.00,28.00
4DCS.40HAH10CT601,0.00,420.00
4DCS.40HAH20CP101,0.00,28.00
4DCS.40HAH20CT601,0.00,420.00
4DCS.40HAH30CP101,0.00,28.00
4DCS.40HAH30CT601,0.00,420.00
4DCS.40HAH40CP101,0.00,28.00
4DCS.40HAH40CT601,0.00,420.00
4DCS.40SEP_OUT_T_SP,0.00,420.00
4DCS.40HAH10CT609,0.00,420.00
4DCS.40LAE10CP101,0.00,28.00
4DCS.40LAE10CT301,0.00,320.00
4DCS.40LAE12CF101F,0.00,80.00
4DCS.40LAE14CF101F,0.00,80.00
4DCS.40LAE11CF101F,0.00,80.00
4DCS.40LAE13CF101F,0.00,80.00
4DCS.40LAE12AA501AI,0.00,100.00
4DCS.40LAE14AA501AO,0.00,100.00
4DCS.40LAE11AA501AI,0.00,100.00
4DCS.40LAE13AA501AI,0.00,100.00
4DCS.40HAG10DE901_XQ93,0.00,2000.00
4DCS.40HAH16CT601,0.00,470.00
4DCS.40HAH16CT602,0.00,470.00
4DCS.40HAH16CT603,0.00,470.00
4DCS.40HAH16CT604,0.00,470.00
4DCS.40HAH16CT605,0.00,470.00
4DCS.40HAH16CT606,0.00,470.00
4DCS.40HAH15CT601,0.00,450.00
4DCS.40HAH16CT607,0.00,470.00
4DCS.40HAH16CT608,0.00,470.00
4DCS.40HAH16CT609,0.00,470.00
4DCS.40HAH16CT610,0.00,470.00
4DCS.40HAH16CT611,0.00,470.00
4DCS.40HAH16CT612,0.00,470.00
4DCS.40HAH22CT601,0.00,580.00
4DCS.40HAH22CT602,0.00,580.00
4DCS.40HAH22CT603,0.00,580.00
4DCS.40HAH21CT601,0.00,580.00
4DCS.40HAH21CT602,0.00,580.00
4DCS.40HAH21CT603,0.00,580.00
4DCS.40HAH21CT604,0.00,580.00
4DCS.40HAH21CT605,0.00,580.00
4DCS.40HAH21CT606,0.00,580.00
4DCS.40HAH22CT604,0.00,580.00
4DCS.40HAH22CT605,0.00,580.00
4DCS.40HAH22CT606,0.00,580.00
4DCS.40LAB11CP101,0.00,26.00
4DCS.40LAB11CT601,0.00,580.00
4DCS.40LAB11CT602,0.00,580.00
4DCS.40LAB12CP101,0.00,26.00
4DCS.40LAB12CT601,0.00,580.00
4DCS.40LAB12CT602,0.00,580.00
4DCS.40LBC20CT603,0.00,350.00
4DCS.40LBC20CT604,0.00,350.00
4DCS.40LBC20CP102,0.00,4.60
4DCS.40LBC01CT601,0.00,350.00
4DCS.40LBC01CT602,0.00,350.00
4DCS.40LBC01CT603,0.00,350.00
4DCS.40LBC02CT601,0.00,350.00
4DCS.40LBC02CT602,0.00,350.00
4DCS.40LBC02CT603,0.00,350.00
4DCS.40LBC01CP101,0.00,4.60
4DCS.40LBC02CP101,0.00,4.60
4DCS.40HAJ11CT601,0.00,580.00
4DCS.40HAJ11CT602,0.00,580.00
4DCS.40HAJ12CT601,0.00,580.00
4DCS.40HAJ12CT602,0.00,580.00
4DCS.40HAJ11CP101,0.00,4.60
4DCS.40HAJ12CP101,0.00,4.60
4DCS.40LAF21AA101AI,0.00,100.00
4DCS.40LAF22AA101AI,0.00,100.00
4DCS.40LAF31CF101F,0.00,60.00
4DCS.40LAF32CF101F,0.00,60.00
4DCS.40LAF20CP101,0.00,13.00
4DCS.40HBK72AA101AVG,0.00,100.00
4DCS.40HBK73AA101AVG,0.00,100.00
4DCS.41HLA42CP101,0.00,13.00
4DCS.41HLA41CT301,0.00,60.00
4DCS.41HLA42CF101F,0.00,120.00
4DCS.41HLA42CF102F,0.00,120.00
4DCS.41HLA52CF101F,0.00,260.00
4DCS.41HLA52CF102F,0.00,260.00
4DCS.41HLA52CP101,0.00,13.00
4DCS.41HLA52CP102,0.00,13.00
4DCS.41HLA52CT301,0.00,350.00
4DCS.41HLA22CP103,0.00,13.00
4DCS.41HLA22CT309,0.00,60.00
4DCS.41HLB12AN001CE,0.00,166.00
4DCS.41HLB12AA101AI,0.00,100.00
4DCS.40HLA40CT601,0.00,350.00
